Nro_Orden,Codigo_MP,Nro_Analisis,Cantidad_Consumida,Posicion
OF-2022-0001,MP-0036,QC-2021-02491,47.522,1
OF-2022-0001,MP-0053,QC-2022-00434,45.991,2
OF-2022-0001,MP-0074,QC-2020-02259,41.197,3
OF-2022-0001,MP-0064,QC-2024-00281,49.646,4
OF-2022-0001,MP-0062,QC-2023-00472,11.562,5
OF-2022-0002,MP-0030,QC-2024-01117,26.541,1
OF-2022-0002,MP-0053,QC-2020-02086,6.341,2
OF-2022-0002,MP-0045,QC-2024-02505,40.67,3
OF-2024-0004,MP-0035,QC-2021-01279,12.539,1
OF-2024-0004,MP-0069,QC-2024-02802,33.687,2
OF-2024-0004,MP-0053,QC-2023-03250,38.648,3
OF-2024-0005,MP-0018,QC-2020-03389,34.566,1
OF-2024-0005,MP-0078,QC-2021-02852,30.086,2
OF-2024-0005,MP-0041,QC-2020-02036,22.427,3
OF-2024-0005,MP-0075,QC-2022-02157,13.96,4
OF-2024-0005,MP-0077,QC-2021-00047,6.637,5
OF-2023-0008,MP-0035,QC-2024-02342,38.738,1
OF-2023-0008,MP-0045,QC-2023-00052,48.631,2
OF-2023-0008,MP-0067,QC-2020-02705,8.835,3
OF-2024-0010,MP-0016,QC-2024-02277,11.11,1
OF-2024-0010,MP-0065,QC-2022-02189,29.911,2
OF-2024-0010,MP-0072,QC-2020-02995,37.666,3
OF-2020-0011,MP-0004,QC-2022-00304,40.377,1
OF-2020-0011,MP-0073,QC-2020-03366,19.268,2
OF-2020-0011,MP-0042,QC-2022-01403,29.169,3
OF-2020-0014,MP-0034,QC-2021-01272,41.706,1
OF-2020-0014,MP-0040,QC-2020-00648,17.63,2
OF-2020-0014,MP-0069,QC-2024-01836,49.159,3
OF-2022-0015,MP-0022,QC-2024-02607,18.877,1
OF-2022-0015,MP-0052,QC-2024-02063,23.309,2
OF-2022-0015,MP-0049,QC-2020-00194,49.156,3
OF-2021-0016,MP-0021,QC-2023-00576,44.128,1
OF-2021-0016,MP-0038,QC-2020-02979,32.131,2
OF-2021-0016,MP-0044,QC-2022-00695,21.314,3
OF-2021-0016,MP-0060,QC-2024-00260,48.859,4
OF-2021-0017,MP-0035,QC-2023-00759,13.218,1
OF-2021-0017,MP-0069,QC-2020-00850,31.2,2
OF-2021-0017,MP-0053,QC-2021-00985,15.418,3
OF-2021-0018,MP-0019,QC-2024-03458,29.359,1
OF-2021-0018,MP-0047,QC-2022-00380,41.521,2
OF-2021-0018,MP-0066,QC-2020-01688,47.084,3
OF-2021-0018,MP-0037,QC-2023-03216,29.573,4
OF-2023-0019,MP-0016,QC-2024-00619,45.29,1
OF-2023-0019,MP-0065,QC-2021-00100,19.035,2
OF-2023-0019,MP-0072,QC-2022-02374,9.184,3
OF-2021-0020,MP-0004,QC-2023-00333,11.16,1
OF-2021-0020,MP-0073,QC-2020-00475,47.704,2
OF-2021-0020,MP-0042,QC-2021-02940,5.18,3
OF-2022-0022,MP-0035,QC-2024-00578,16.893,1
OF-2022-0022,MP-0045,QC-2023-01729,8.69,2
OF-2022-0022,MP-0067,QC-2022-00939,13.331,3
OF-2023-0023,MP-0035,QC-2021-03497,41.551,1
OF-2023-0023,MP-0042,QC-2022-02536,14.829,2
OF-2023-0023,MP-0052,QC-2021-00898,12.622,3
OF-2020-0025,MP-0005,QC-2023-02446,44.378,1
OF-2020-0025,MP-0038,QC-2022-03251,40.76,2
OF-2020-0025,MP-0074,QC-2023-02986,42.883,3
OF-2020-0025,MP-0072,QC-2022-02739,29.64,4
OF-2022-0026,MP-0024,QC-2020-02530,13.661,1
OF-2022-0026,MP-0060,QC-2022-01864,18.172,2
OF-2022-0026,MP-0059,QC-2021-00432,23.203,3
OF-2022-0027,MP-0032,QC-2024-01708,17.121,1
OF-2022-0027,MP-0050,QC-2021-00562,36.811,2
OF-2022-0027,MP-0062,QC-2022-00910,34.175,3
OF-2022-0027,MP-0040,QC-2022-02345,5.065,4
OF-2022-0028,MP-0021,QC-2022-01328,38.605,1
OF-2022-0028,MP-0051,QC-2024-03215,10.769,2
OF-2022-0028,MP-0039,QC-2023-00721,41.65,3
OF-2020-0029,MP-0032,QC-2023-01317,10.96,1
OF-2020-0029,MP-0050,QC-2024-00106,15.389,2
OF-2020-0029,MP-0062,QC-2022-00899,38.52,3
OF-2020-0029,MP-0040,QC-2022-00332,35.783,4
OF-2023-0031,MP-0021,QC-2024-03451,14.459,1
OF-2023-0031,MP-0051,QC-2022-00242,42.349,2
OF-2023-0031,MP-0039,QC-2022-00077,23.601,3
OF-2021-0032,MP-0004,QC-2024-01114,11.614,1
OF-2021-0032,MP-0073,QC-2024-03413,40.352,2
OF-2021-0032,MP-0042,QC-2021-01735,19.63,3
OF-2022-0033,MP-0005,QC-2023-02446,35.614,1
OF-2022-0033,MP-0038,QC-2022-02610,34.84,2
OF-2022-0033,MP-0074,QC-2023-02298,11.566,3
OF-2022-0033,MP-0072,QC-2024-02227,20.893,4
OF-2024-0034,MP-0034,QC-2020-01217,27.046,1
OF-2024-0034,MP-0040,QC-2023-01444,24.685,2
OF-2024-0034,MP-0069,QC-2021-00957,5.138,3
OF-2020-0035,MP-0005,QC-2021-00585,38.675,1
OF-2020-0035,MP-0052,QC-2023-03455,18.008,2
OF-2020-0035,MP-0054,QC-2021-02089,9.969,3
OF-2020-0035,MP-0068,QC-2022-01603,11.331,4
OF-2020-0035,MP-0050,QC-2023-01889,12.968,5
OF-2020-0036,MP-0035,QC-2021-03244,7.938,1
OF-2020-0036,MP-0069,QC-2021-02019,20.653,2
OF-2020-0036,MP-0053,QC-2024-01435,25.22,3
OF-2024-0037,MP-0005,QC-2023-02233,48.358,1
OF-2024-0037,MP-0052,QC-2020-01628,12.221,2
OF-2024-0037,MP-0062,QC-2020-00890,24.716,3
OF-2024-0037,MP-0044,QC-2023-00750,5.772,4
OF-2024-0037,MP-0073,QC-2021-01083,34.035,5
OF-2021-0038,MP-0034,QC-2022-02571,33.885,1
OF-2021-0038,MP-0064,QC-2024-00786,9.942,2
OF-2021-0038,MP-0050,QC-2021-02472,28.491,3
OF-2021-0038,MP-0071,QC-2022-03340,9.448,4
