Nro_Orden,SKU,Fecha_Inicio,Cantidad_Programada,Lote_Producto
OF-2023-0001,PROD-0021,2023-04-01,24184,L-gX348
OF-2020-0002,PROD-0042,2020-03-10,24868,L-KV567
OF-2022-0003,PROD-0017,2022-03-08,17193,L-lR007
OF-2023-0004,PROD-0049,2023-03-06,67954,L-vN725
OF-2020-0005,PROD-0012,2020-01-16,17638,L-HE858
OF-2021-0006,PROD-0018,2021-02-18,55472,L-tJ061
OF-2020-0007,PROD-0001,2020-08-02,32640,L-WN236
OF-2024-0008,PROD-0026,2024-12-26,57041,L-EN065
OF-2022-0009,PROD-0049,2022-07-23,5092,L-TI809
OF-2021-0010,PROD-0019,2021-11-12,2500,L-ET018
OF-2022-0011,PROD-0015,2022-07-09,23851,L-hN065
OF-2021-0012,PROD-0029,2021-05-04,31068,L-Cb076
OF-2024-0013,PROD-0047,2024-06-15,103065,L-Ps047
OF-2023-0014,PROD-0025,2023-02-22,70412,L-Pz157
OF-2024-0015,PROD-0009,2024-03-14,78251,L-as922
OF-2020-0016,PROD-0017,2020-12-12,66130,L-Kf279
OF-2023-0017,PROD-0035,2023-11-17,53589,L-uF493
OF-2024-0018,PROD-0005,2024-05-13,29916,L-PR164
OF-2021-0019,PROD-0040,2021-07-23,7425,L-eA325
OF-2020-0020,PROD-0011,2020-10-25,23419,L-CQ848
OF-2020-0021,PROD-0023,2020-03-02,23294,L-ua652
OF-2024-0022,PROD-0025,2024-06-11,70408,L-GE311
OF-2021-0023,PROD-0048,2021-04-09,50666,L-dC231
OF-2020-0024,PROD-0013,2020-01-08,38417,L-bC913
OF-2020-0025,PROD-0023,2020-02-05,66829,L-CK111
OF-2023-0026,PROD-0024,2023-08-21,33637,L-dS286
OF-2023-0027,PROD-0007,2023-05-02,50912,L-yy163
OF-2024-0028,PROD-0036,2024-04-18,13814,L-SG198
OF-2020-0029,PROD-0022,2020-09-02,41956,L-fa822
OF-2021-0030,PROD-0028,2021-08-23,4083,L-YX025
